prospect_id,market,acquisition_channel,category_interest,device_type,engagement_score,assignment_date,converted
P00943,LT,CRM,Home,desktop,0.5866,2025-03-04,0
P00944,LV,Affiliate,Pet Care,desktop,0.7702,2025-05-16,0
P00945,LT,Paid Search,Sports,desktop,0.4259,2025-04-22,1
P00946,LV,Paid Social,Beauty,mobile,0.1805,2025-03-06,0
P00947,LV,Paid Search,Pet Care,desktop,0.321,2025-07-02,1
P00948,LT,Paid Social,Home,mobile,0.441,2025-02-07,0
P00949,LV,Organic Search,Electronics,mobile,0.3536,2025-05-08,0
P00950,EE,Paid Social,Sports,desktop,0.506,2025-01-15,0
P00951,EE,Paid Search,Sports,desktop,0.4007,2025-02-15,1
P00952,LV,Paid Search,Pet Care,mobile,0.5514,2025-04-30,1
P00953,LV,CRM,Electronics,mobile,0.6012,2025-07-09,1
P00954,EE,Organic Search,Electronics,mobile,0.5256,2025-01-27,0
P00955,LT,CRM,Pet Care,mobile,0.2948,2025-01-26,0
P00956,LV,Paid Social,Pet Care,mobile,0.5172,2025-04-03,1
P00957,LV,Paid Social,Sports,desktop,0.0662,2025-08-01,0
P00958,EE,Organic Search,Home,mobile,0.6059,2025-10-28,0
P00959,LT,Paid Search,Electronics,desktop,0.4942,2025-09-10,1
P00960,LV,Organic Search,Beauty,mobile,0.2312,2025-04-04,0
P00961,LV,CRM,Electronics,mobile,0.1561,2025-07-03,0
P00962,LV,Paid Social,Sports,mobile,0.2434,2025-03-22,0
P00963,LV,Paid Social,Beauty,mobile,0.3607,2025-03-20,0
P00964,LV,Organic Search,Beauty,mobile,0.3561,2025-01-14,1
P00965,LT,Organic Search,Pet Care,mobile,0.5953,2025-10-06,0
P00966,LV,Affiliate,Sports,mobile,0.4443,2025-01-01,0
P00967,LV,CRM,Home,desktop,0.7518,2025-07-25,1
P00968,LT,Organic Search,Beauty,mobile,0.8068,2025-09-21,1
P00969,LT,Paid Social,Beauty,desktop,0.3739,2025-10-05,1
P00970,EE,Paid Search,Beauty,desktop,0.137,2025-10-03,0
P00971,LV,Organic Search,Beauty,mobile,0.4696,2025-10-01,0
P00972,EE,Paid Search,Home,desktop,0.3884,2025-07-08,0
P00973,LV,Paid Social,Beauty,mobile,0.252,2025-03-25,0
P00974,EE,Organic Search,Beauty,mobile,0.5335,2025-08-16,0
P00975,LT,Organic Search,Beauty,desktop,0.2493,2025-08-23,0
P00976,LV,Paid Social,Sports,mobile,0.4162,2025-09-16,0
P00977,EE,Paid Search,Home,mobile,0.4889,2025-10-27,0
P00978,EE,Paid Social,Electronics,mobile,0.492,2025-01-17,1
P00979,LV,CRM,Pet Care,desktop,0.4049,2025-10-11,0
P00980,LT,CRM,Beauty,desktop,0.3231,2025-04-15,1
P00981,LV,CRM,Home,mobile,0.4207,2025-03-04,0
P00982,LV,Paid Social,Home,desktop,0.6956,2025-08-05,1
P00983,LT,Paid Social,Home,mobile,0.5274,2025-10-07,1
P00984,LV,Paid Social,Beauty,mobile,0.6513,2025-04-24,0
P00985,LV,Affiliate,Beauty,mobile,0.6046,2025-09-17,0
P00986,LV,Paid Social,Electronics,desktop,0.5095,2025-04-03,0
P00987,LV,Paid Social,Pet Care,mobile,0.3122,2025-07-02,0
P00988,LV,Paid Search,Sports,mobile,0.5278,2025-02-03,1
P00989,LT,Affiliate,Sports,mobile,0.2963,2025-08-23,0
P00990,LT,Affiliate,Sports,mobile,0.542,2025-01-27,0
P00991,LT,Paid Search,Electronics,mobile,0.4154,2025-09-28,0
P00992,LT,Paid Search,Beauty,mobile,0.3317,2025-03-23,1
P00993,EE,Paid Social,Beauty,mobile,0.5217,2025-07-09,0
P00994,LT,Organic Search,Sports,desktop,0.2846,2025-10-03,1
P00995,LT,Paid Search,Electronics,desktop,0.3197,2025-06-25,0
P00996,LT,Paid Social,Home,mobile,0.5126,2025-06-30,0
P00997,EE,Paid Social,Home,mobile,0.5048,2025-05-30,1
P00998,EE,Paid Social,Beauty,mobile,0.822,2025-07-13,0
P00999,LV,Affiliate,Home,mobile,0.107,2025-06-03,0
P01000,LV,Paid Search,Home,desktop,0.4975,2025-08-05,1
P01001,EE,Paid Social,Sports,mobile,0.6642,2025-06-13,0
P01002,LT,Paid Search,Electronics,desktop,0.8519,2025-07-16,1
P01003,LT,Organic Search,Electronics,desktop,0.7895,2025-06-28,1
P01004,LT,CRM,Home,mobile,0.3927,2025-10-17,1
P01005,EE,CRM,Electronics,desktop,0.5315,2025-01-08,0
P01006,LV,Paid Search,Home,mobile,0.3765,2025-08-09,1
P01007,LV,Paid Social,Electronics,mobile,0.6426,2025-10-16,1
P01008,LT,CRM,Pet Care,mobile,0.7054,2025-02-26,1
P01009,LT,Paid Social,Sports,mobile,0.1018,2025-08-31,0
P01010,LV,Organic Search,Beauty,mobile,0.5703,2025-06-03,1
P01011,LT,Paid Search,Beauty,mobile,0.3989,2025-09-28,0
P01012,EE,Paid Search,Electronics,mobile,0.671,2025-06-18,0
P01013,LV,Paid Search,Electronics,mobile,0.7853,2025-01-03,1
P01014,EE,Paid Search,Electronics,desktop,0.5594,2025-02-13,0
P01015,EE,Paid Social,Pet Care,desktop,0.6497,2025-04-07,0
P01016,LV,Organic Search,Beauty,desktop,0.4859,2025-05-26,0
P01017,LT,CRM,Sports,desktop,0.3325,2025-10-04,1
P01018,EE,Paid Search,Beauty,mobile,0.4681,2025-04-23,1
P01019,LV,Paid Search,Beauty,mobile,0.8884,2025-07-16,1
P01020,LV,Paid Search,Pet Care,mobile,0.2767,2025-08-15,1
P01021,EE,Paid Social,Home,desktop,0.6258,2025-08-03,0
P01022,LT,Paid Search,Home,mobile,0.4603,2025-03-30,1
P01023,LT,Organic Search,Home,desktop,0.7652,2025-08-03,0
P01024,EE,Paid Search,Electronics,desktop,0.4509,2025-07-09,1
P01025,LV,CRM,Beauty,mobile,0.4431,2025-02-20,0
P01026,LT,Organic Search,Sports,mobile,0.4508,2025-01-27,0
P01027,LT,Paid Search,Pet Care,mobile,0.5046,2025-06-24,0
P01028,LT,Paid Social,Pet Care,mobile,0.437,2025-02-24,1
P01029,LV,CRM,Home,mobile,0.8669,2025-07-22,0
P01030,LT,Organic Search,Sports,mobile,0.2895,2025-05-13,0
P01031,EE,Affiliate,Sports,mobile,0.2621,2025-03-14,1
P01032,LT,Paid Social,Electronics,desktop,0.4,2025-01-13,0
P01033,LV,Paid Search,Home,desktop,0.6118,2025-02-06,0
P01034,LV,Paid Social,Electronics,desktop,0.2716,2025-01-02,0
P01035,EE,Paid Social,Home,desktop,0.7791,2025-06-22,0
P01036,LV,Paid Search,Home,desktop,0.4486,2025-01-24,0
P01037,LV,CRM,Pet Care,mobile,0.235,2025-05-24,0
P01038,LV,CRM,Sports,desktop,0.5517,2025-09-04,1
P01039,LT,Paid Search,Pet Care,mobile,0.4536,2025-04-16,0
P01040,LV,Affiliate,Home,mobile,0.7237,2025-09-16,0
P01041,LT,Paid Search,Sports,mobile,0.3304,2025-07-09,0
P01042,LV,Organic Search,Sports,mobile,0.2338,2025-06-17,0
P01043,LV,Organic Search,Home,mobile,0.7801,2025-03-23,1
P01044,EE,Paid Search,Electronics,desktop,0.2123,2025-05-31,0
P01045,LV,Paid Search,Electronics,mobile,0.6181,2025-08-06,0
P01046,LT,Paid Search,Pet Care,mobile,0.4489,2025-05-17,1
P01047,LV,Paid Social,Beauty,mobile,0.4798,2025-02-27,0
P01048,LT,Affiliate,Electronics,mobile,0.1218,2025-07-23,0
P01049,LV,Organic Search,Electronics,mobile,0.4883,2025-03-22,1
P01050,LV,CRM,Beauty,desktop,0.4349,2025-10-07,0
P01051,LV,Organic Search,Beauty,desktop,0.3718,2025-02-22,0
P01052,EE,Organic Search,Home,mobile,0.3291,2025-10-05,1
P01053,LV,Paid Social,Beauty,mobile,0.4657,2025-10-11,0
P01054,LV,Paid Search,Pet Care,desktop,0.0643,2025-08-07,0
P01055,LV,Paid Social,Electronics,desktop,0.5129,2025-10-24,1
P01056,LT,Paid Search,Home,mobile,0.5761,2025-04-28,0
P01057,LV,CRM,Beauty,mobile,0.7526,2025-07-24,0
P01058,LV,CRM,Home,mobile,0.581,2025-04-08,0
P01059,LV,Organic Search,Home,mobile,0.1491,2025-01-26,0
P01060,LT,Paid Search,Sports,mobile,0.1236,2025-06-14,1
P01061,LV,Affiliate,Home,mobile,0.3274,2025-09-15,0
P01062,LT,Organic Search,Beauty,mobile,0.6277,2025-07-27,1
P01063,LV,Organic Search,Electronics,mobile,0.3365,2025-01-06,1
P01064,EE,Paid Search,Beauty,mobile,0.2167,2025-01-20,1
P01065,EE,Affiliate,Sports,desktop,0.7111,2025-02-28,1
P01066,EE,Paid Search,Home,desktop,0.461,2025-05-30,0
P01067,LV,Paid Search,Sports,mobile,0.3256,2025-10-17,1
P01068,LT,Paid Social,Sports,mobile,0.515,2025-08-03,0
P01069,LT,Affiliate,Electronics,desktop,0.3744,2025-06-23,1
P01070,EE,CRM,Electronics,mobile,0.6085,2025-07-18,0
P01071,EE,CRM,Beauty,mobile,0.7321,2025-01-31,1
P01072,LT,Paid Social,Beauty,desktop,0.3776,2025-01-24,0
P01073,LT,CRM,Sports,desktop,0.4149,2025-07-24,1
P01074,LT,Paid Social,Electronics,desktop,0.2966,2025-01-08,0
P01075,EE,Paid Social,Beauty,desktop,0.6936,2025-08-03,0
P01076,EE,Organic Search,Sports,mobile,0.6072,2025-06-07,1
P01077,LT,Paid Search,Electronics,desktop,0.8629,2025-03-17,1
P01078,LV,Paid Search,Home,mobile,0.4136,2025-01-24,0
P01079,LT,Paid Social,Pet Care,mobile,0.4697,2025-02-03,0
P01080,LV,Paid Social,Beauty,mobile,0.1988,2025-01-16,0
P01081,LV,Paid Search,Beauty,desktop,0.5908,2025-08-05,0
P01082,LV,Paid Search,Beauty,mobile,0.4254,2025-09-29,0
P01083,EE,Paid Social,Home,mobile,0.2269,2025-07-15,0
P01084,LV,Paid Search,Sports,desktop,0.1558,2025-03-15,1
P01085,EE,CRM,Sports,desktop,0.2562,2025-05-20,0
P01086,EE,Paid Social,Electronics,mobile,0.123,2025-04-12,0
P01087,LV,Organic Search,Electronics,desktop,0.3931,2025-10-25,1
P01088,LV,Affiliate,Home,mobile,0.2563,2025-01-16,0
P01089,EE,Affiliate,Home,desktop,0.6786,2025-04-27,1
P01090,LV,Affiliate,Beauty,mobile,0.7646,2025-01-29,1
P01091,EE,Paid Search,Home,mobile,0.4764,2025-06-07,0
P01092,LV,Paid Social,Electronics,mobile,0.2637,2025-09-12,1
P01093,LV,Organic Search,Sports,mobile,0.0983,2025-09-10,0
P01094,LT,CRM,Beauty,desktop,0.1657,2025-10-13,1
P01095,LT,Paid Search,Beauty,mobile,0.4884,2025-07-23,1
P01096,LV,Affiliate,Home,mobile,0.1889,2025-08-12,1
P01097,LT,Organic Search,Beauty,mobile,0.4257,2025-05-25,1
P01098,LV,Organic Search,Beauty,desktop,0.3562,2025-01-04,0
P01099,EE,Organic Search,Sports,desktop,0.226,2025-03-12,0
P01100,LT,Paid Social,Sports,mobile,0.2893,2025-07-18,0
P01101,LV,Affiliate,Electronics,mobile,0.0423,2025-07-16,0
P01102,LV,Affiliate,Electronics,mobile,0.7015,2025-05-02,0
P01103,LV,Organic Search,Home,mobile,0.2015,2025-01-05,1
P01104,EE,Paid Search,Beauty,mobile,0.6952,2025-10-01,0
P01105,LV,Paid Social,Sports,desktop,0.2533,2025-05-25,1
P01106,LV,Organic Search,Home,mobile,0.6861,2025-05-01,0
P01107,LV,CRM,Electronics,mobile,0.2518,2025-08-04,1
P01108,LT,Paid Search,Home,mobile,0.1348,2025-05-16,0
P01109,LV,Affiliate,Electronics,mobile,0.4738,2025-09-26,0
P01110,LV,Paid Social,Electronics,mobile,0.3998,2025-05-01,0
P01111,LV,Paid Search,Home,desktop,0.0892,2025-09-02,1
P01112,LV,Organic Search,Electronics,desktop,0.3595,2025-05-03,1
P01113,LV,Paid Search,Home,desktop,0.287,2025-07-19,0
P01114,LV,Paid Search,Sports,desktop,0.1757,2025-07-21,0
P01115,LT,Paid Social,Home,desktop,0.3433,2025-02-08,0
P01116,LV,Organic Search,Electronics,mobile,0.6427,2025-09-15,1
P01117,LV,Paid Social,Sports,desktop,0.49,2025-07-02,0
P01118,LT,Paid Search,Pet Care,mobile,0.3929,2025-10-28,0
P01119,LT,Paid Search,Pet Care,mobile,0.566,2025-09-17,1
P01120,LV,Paid Search,Beauty,mobile,0.2257,2025-09-29,0
P01121,LT,Paid Search,Beauty,desktop,0.1692,2025-09-14,1
P01122,LV,CRM,Home,mobile,0.6056,2025-08-08,1
P01123,LV,CRM,Sports,desktop,0.418,2025-04-14,0
P01124,LV,Affiliate,Home,mobile,0.2021,2025-01-24,0
P01125,EE,CRM,Home,desktop,0.0525,2025-02-05,0
P01126,LT,CRM,Sports,mobile,0.2804,2025-10-22,0
P01127,LV,Affiliate,Beauty,mobile,0.5196,2025-07-01,0
P01128,LT,Organic Search,Home,desktop,0.4417,2025-05-09,0
P01129,LV,Paid Search,Pet Care,desktop,0.3355,2025-01-23,0
P01130,LV,CRM,Electronics,desktop,0.4937,2025-04-27,1
P01131,LT,CRM,Home,mobile,0.5489,2025-10-20,0
P01132,LV,Paid Social,Electronics,mobile,0.5058,2025-08-16,0
P01133,LV,Paid Search,Sports,mobile,0.3585,2025-02-16,0
P01134,LT,Paid Search,Home,mobile,0.3997,2025-03-20,0
P01135,LV,Paid Search,Electronics,mobile,0.0713,2025-08-30,0
P01136,LT,Paid Social,Sports,mobile,0.502,2025-10-10,0
P01137,LT,Paid Social,Beauty,desktop,0.7566,2025-02-09,0
P01138,LV,Paid Social,Electronics,mobile,0.5234,2025-10-25,0
P01139,LT,Organic Search,Home,desktop,0.3296,2025-04-16,0
P01140,LT,Organic Search,Home,desktop,0.148,2025-02-15,0
P01141,EE,CRM,Electronics,mobile,0.2166,2025-03-10,0
P01142,LV,CRM,Beauty,mobile,0.2072,2025-03-15,0
P01143,LT,Organic Search,Beauty,mobile,0.3734,2025-01-24,1
P01144,EE,Affiliate,Sports,mobile,0.2846,2025-01-26,0
P01145,LT,Paid Social,Pet Care,desktop,0.2853,2025-08-17,0
P01146,LV,Paid Social,Home,mobile,0.5674,2025-08-31,0
P01147,LV,Paid Search,Electronics,desktop,0.6327,2025-06-13,0
P01148,LV,Affiliate,Beauty,mobile,0.3013,2025-03-17,1
P01149,LT,CRM,Electronics,mobile,0.5,2025-08-27,0
P01150,LV,Paid Social,Electronics,desktop,0.4482,2025-09-07,1
P01151,EE,Paid Search,Sports,desktop,0.2548,2025-03-07,0
P01152,LT,Affiliate,Beauty,mobile,0.0821,2025-08-04,0
P01153,LV,Paid Social,Beauty,desktop,0.1717,2025-04-19,0
P01154,LV,CRM,Sports,mobile,0.8006,2025-02-26,0
P01155,EE,Organic Search,Home,mobile,0.496,2025-03-22,0
P01156,LV,Affiliate,Pet Care,desktop,0.8001,2025-10-08,0
P01157,LT,Affiliate,Home,mobile,0.4048,2025-10-09,0
P01158,EE,Paid Search,Pet Care,desktop,0.2295,2025-05-22,1
P01159,EE,Paid Search,Home,mobile,0.3251,2025-10-01,0
P01160,LV,Paid Search,Beauty,mobile,0.5152,2025-01-02,0
P01161,LV,Paid Social,Electronics,desktop,0.3239,2025-04-10,0
P01162,EE,Paid Search,Sports,mobile,0.5975,2025-02-19,1
P01163,LV,Paid Search,Home,mobile,0.3859,2025-03-13,1
P01164,LV,Paid Social,Sports,mobile,0.532,2025-06-02,0
P01165,LT,Paid Social,Home,mobile,0.7809,2025-08-21,0
P01166,EE,Paid Social,Sports,mobile,0.4127,2025-02-17,0
P01167,LV,CRM,Home,mobile,0.7095,2025-03-22,1
P01168,LV,Organic Search,Sports,desktop,0.0973,2025-10-10,1
P01169,LT,Paid Social,Home,desktop,0.4537,2025-10-23,0
P01170,LT,CRM,Electronics,mobile,0.3025,2025-02-19,1
P01171,LV,Paid Social,Home,desktop,0.2566,2025-03-09,0
P01172,LV,Organic Search,Sports,mobile,0.4275,2025-10-24,1
P01173,LT,Organic Search,Electronics,desktop,0.504,2025-07-29,0
P01174,LV,Paid Social,Sports,desktop,0.1977,2025-01-15,0
P01175,EE,Paid Search,Pet Care,desktop,0.2494,2025-08-03,0
P01176,LV,CRM,Pet Care,mobile,0.1494,2025-08-11,1
P01177,LT,Paid Search,Beauty,mobile,0.3918,2025-01-21,1
P01178,LV,CRM,Sports,mobile,0.4201,2025-02-20,0
P01179,EE,Paid Social,Electronics,mobile,0.4418,2025-09-06,1
P01180,LV,Paid Search,Pet Care,mobile,0.6602,2025-04-22,1
P01181,LV,Paid Search,Beauty,desktop,0.6877,2025-02-26,1
P01182,LV,CRM,Sports,mobile,0.7701,2025-05-07,1
P01183,LV,Organic Search,Pet Care,mobile,0.5645,2025-01-13,0
P01184,EE,Affiliate,Home,desktop,0.5036,2025-08-29,1
P01185,EE,Organic Search,Pet Care,desktop,0.2485,2025-08-16,0
P01186,LT,Affiliate,Pet Care,mobile,0.6707,2025-07-10,0
P01187,LV,Organic Search,Sports,mobile,0.6501,2025-07-03,0
P01188,LV,Paid Search,Beauty,desktop,0.1824,2025-05-20,1
P01189,LT,Paid Social,Pet Care,desktop,0.5576,2025-06-15,0
P01190,LT,Paid Social,Beauty,desktop,0.3781,2025-03-06,0
P01191,LV,Paid Social,Pet Care,desktop,0.6249,2025-01-15,0
P01192,LV,Paid Search,Sports,desktop,0.427,2025-05-30,1
P01193,EE,Paid Social,Home,mobile,0.1513,2025-04-01,0
P01194,EE,CRM,Pet Care,mobile,0.2942,2025-03-04,0
P01195,LT,Paid Search,Beauty,mobile,0.3517,2025-05-05,0
P01196,LV,Paid Search,Electronics,desktop,0.2994,2025-06-24,0
P01197,LT,Organic Search,Pet Care,desktop,0.4704,2025-04-27,1
P01198,EE,Organic Search,Pet Care,desktop,0.2763,2025-08-08,0
P01199,LV,Paid Search,Beauty,desktop,0.363,2025-10-11,1
P01200,LT,Organic Search,Electronics,mobile,0.5992,2025-03-12,0
P01201,LT,Paid Search,Electronics,mobile,0.6228,2025-05-06,0
P01202,LV,Paid Search,Home,mobile,0.1799,2025-09-15,0
P01203,EE,Paid Social,Home,mobile,0.3521,2025-02-06,0
P01204,EE,Paid Search,Home,mobile,0.2973,2025-05-30,1
P01205,LV,Paid Search,Pet Care,desktop,0.6179,2025-08-25,0
P01206,LV,Organic Search,Beauty,mobile,0.1963,2025-04-15,0
P01207,EE,CRM,Electronics,desktop,0.7803,2025-03-21,0
P01208,LV,Paid Social,Home,desktop,0.7711,2025-03-13,1
P01209,EE,Paid Search,Beauty,desktop,0.6142,2025-02-17,1
P01210,LT,CRM,Beauty,desktop,0.0681,2025-01-19,0
P01211,LT,Organic Search,Beauty,mobile,0.107,2025-04-15,0
P01212,EE,Paid Social,Beauty,mobile,0.6975,2025-09-24,1
P01213,LV,Paid Social,Beauty,desktop,0.6832,2025-02-18,0
P01214,EE,Paid Social,Beauty,desktop,0.2536,2025-04-17,0
P01215,LV,Organic Search,Sports,mobile,0.6379,2025-04-24,0
P01216,LV,Paid Social,Electronics,mobile,0.928,2025-05-03,0
P01217,LV,Paid Social,Sports,desktop,0.5951,2025-10-12,0
P01218,LT,Affiliate,Electronics,desktop,0.3771,2025-02-01,0
P01219,LV,CRM,Beauty,mobile,0.3862,2025-08-17,1
P01220,LV,Organic Search,Electronics,desktop,0.5045,2025-05-25,1
P01221,LV,Affiliate,Electronics,mobile,0.1179,2025-02-19,0
P01222,LV,Paid Search,Beauty,desktop,0.2453,2025-06-22,1
P01223,EE,Paid Search,Pet Care,desktop,0.4159,2025-09-11,1
P01224,LV,Organic Search,Beauty,desktop,0.7043,2025-06-23,1
P01225,LV,Paid Social,Electronics,mobile,0.7604,2025-01-02,0
P01226,LV,Organic Search,Pet Care,mobile,0.315,2025-04-03,1
P01227,LV,Organic Search,Beauty,mobile,0.2888,2025-04-14,0
P01228,LV,Paid Social,Home,mobile,0.1171,2025-07-28,0
P01229,LV,CRM,Electronics,desktop,0.3541,2025-09-29,0
P01230,LV,CRM,Home,mobile,0.4959,2025-03-24,0
P01231,LT,Paid Social,Home,mobile,0.2171,2025-07-22,0
P01232,LT,Paid Social,Beauty,mobile,0.1587,2025-05-04,0
P01233,LT,Paid Social,Beauty,mobile,0.7274,2025-04-07,0
P01234,LT,Paid Social,Beauty,desktop,0.1108,2025-04-07,0
P01235,LV,Paid Search,Pet Care,mobile,0.9118,2025-09-27,1
P01236,LV,Paid Social,Sports,mobile,0.684,2025-01-19,1
P01237,EE,CRM,Home,desktop,0.545,2025-07-08,0
P01238,LV,Paid Social,Home,desktop,0.6262,2025-02-03,0
P01239,EE,Paid Social,Sports,mobile,0.6184,2025-10-15,0
P01240,LV,Paid Social,Home,mobile,0.5658,2025-06-10,1
P01241,LV,CRM,Sports,mobile,0.5285,2025-06-13,1
P01242,LT,Affiliate,Electronics,mobile,0.2625,2025-10-15,0
P01243,LV,Paid Social,Beauty,mobile,0.1824,2025-10-15,0
P01244,EE,CRM,Beauty,desktop,0.1963,2025-06-19,1
P01245,LV,Affiliate,Home,desktop,0.5831,2025-08-09,0
P01246,LV,Paid Social,Sports,desktop,0.6283,2025-04-23,1
P01247,EE,Organic Search,Pet Care,desktop,0.3905,2025-08-12,0
P01248,LV,CRM,Pet Care,desktop,0.1207,2025-08-03,0
P01249,LT,Paid Search,Beauty,desktop,0.0796,2025-02-16,0
P01250,EE,Paid Search,Electronics,mobile,0.4281,2025-05-02,0
P01251,LV,Paid Search,Home,mobile,0.2728,2025-05-13,0
P01252,EE,Organic Search,Pet Care,mobile,0.5347,2025-10-27,0
P01253,LV,Affiliate,Pet Care,mobile,0.2551,2025-02-02,1
P01254,LV,Paid Social,Beauty,mobile,0.732,2025-01-01,0
P01255,LV,Paid Search,Beauty,mobile,0.3661,2025-09-24,0
P01256,LT,Paid Social,Home,mobile,0.0321,2025-05-02,0
P01257,LV,Paid Social,Beauty,mobile,0.7905,2025-10-02,1
P01258,LT,Paid Search,Sports,desktop,0.4634,2025-07-18,0
P01259,LV,Paid Social,Electronics,mobile,0.6132,2025-09-19,0
P01260,LT,Affiliate,Pet Care,mobile,0.7911,2025-08-22,1
P01261,LT,Paid Social,Home,mobile,0.4402,2025-02-28,0
P01262,LV,Paid Search,Home,mobile,0.607,2025-10-27,0
P01263,EE,Paid Social,Beauty,mobile,0.471,2025-08-23,0
P01264,LV,Paid Social,Electronics,desktop,0.1473,2025-06-02,1
P01265,LT,Affiliate,Pet Care,mobile,0.2382,2025-04-21,0
P01266,LT,Organic Search,Electronics,mobile,0.7346,2025-06-26,1
P01267,LT,Paid Social,Beauty,desktop,0.3975,2025-07-25,0
P01268,LT,Affiliate,Beauty,mobile,0.4295,2025-08-18,0
P01269,EE,CRM,Pet Care,mobile,0.6211,2025-07-02,1
P01270,LT,Affiliate,Sports,desktop,0.7797,2025-02-28,0
P01271,EE,Paid Search,Beauty,mobile,0.6409,2025-09-27,0
P01272,LT,Paid Social,Sports,desktop,0.7957,2025-09-15,1
P01273,LT,CRM,Pet Care,desktop,0.8497,2025-05-11,0
P01274,LV,Organic Search,Home,mobile,0.3621,2025-05-14,1
P01275,LV,Paid Social,Sports,mobile,0.673,2025-10-15,0
P01276,LV,Affiliate,Pet Care,mobile,0.5137,2025-08-03,0
P01277,LT,Affiliate,Sports,desktop,0.4459,2025-04-03,0
P01278,LV,CRM,Home,mobile,0.557,2025-05-06,1
P01279,LV,CRM,Home,mobile,0.2738,2025-02-03,0
P01280,LT,Affiliate,Beauty,mobile,0.5503,2025-06-13,1
P01281,LV,Paid Search,Sports,mobile,0.3283,2025-09-22,0
P01282,LV,Affiliate,Home,desktop,0.4423,2025-01-20,0
P01283,LT,Paid Social,Home,desktop,0.4011,2025-04-15,0
P01284,EE,Organic Search,Pet Care,desktop,0.1325,2025-09-03,0
P01285,LV,CRM,Home,mobile,0.763,2025-01-23,0
P01286,LV,Organic Search,Pet Care,desktop,0.5965,2025-04-19,0
P01287,LT,Paid Search,Electronics,desktop,0.7742,2025-02-24,0
P01288,EE,Paid Search,Pet Care,mobile,0.3965,2025-04-21,0
P01289,LT,Affiliate,Sports,mobile,0.6115,2025-07-16,1
P01290,EE,Paid Search,Pet Care,desktop,0.5963,2025-03-08,0
P01291,LT,CRM,Pet Care,desktop,0.6041,2025-06-04,0
P01292,LT,Paid Search,Home,mobile,0.747,2025-06-15,0
P01293,LV,Affiliate,Beauty,mobile,0.8477,2025-04-17,0
P01294,LT,Paid Search,Home,mobile,0.3508,2025-06-17,1
P01295,EE,CRM,Pet Care,mobile,0.326,2025-06-04,0
P01296,EE,Paid Social,Home,desktop,0.4513,2025-01-22,0
P01297,LT,Organic Search,Beauty,desktop,0.3383,2025-05-27,0
P01298,EE,CRM,Pet Care,mobile,0.5573,2025-05-03,0
P01299,LV,Organic Search,Home,mobile,0.3671,2025-06-02,0
P01300,LV,CRM,Sports,mobile,0.5168,2025-07-29,0
P01301,LT,Paid Social,Home,desktop,0.6262,2025-04-03,1
P01302,LT,Paid Search,Beauty,mobile,0.3887,2025-07-10,0
P01303,LV,Paid Search,Home,mobile,0.2975,2025-04-29,0
P01304,LT,Paid Social,Pet Care,mobile,0.3071,2025-02-04,0
P01305,LV,Paid Search,Beauty,desktop,0.4373,2025-02-16,1
P01306,LV,Affiliate,Pet Care,mobile,0.5976,2025-09-03,0
P01307,LV,Paid Social,Sports,mobile,0.3738,2025-06-28,0
P01308,LT,Paid Social,Beauty,mobile,0.5868,2025-01-30,0
P01309,LV,Paid Social,Beauty,desktop,0.1734,2025-04-21,1
P01310,LV,Paid Social,Electronics,desktop,0.3715,2025-02-12,0
P01311,EE,Organic Search,Pet Care,mobile,0.5257,2025-07-28,0
P01312,LV,Affiliate,Electronics,mobile,0.2123,2025-10-13,0
P01313,LV,Paid Search,Home,desktop,0.6115,2025-02-12,0
P01314,EE,CRM,Beauty,mobile,0.7305,2025-03-23,0
P01315,LV,Paid Search,Sports,mobile,0.4475,2025-07-02,1
P01316,LV,Paid Search,Electronics,desktop,0.5354,2025-01-24,1
P01317,LV,Paid Social,Home,desktop,0.845,2025-01-15,0
P01318,LT,Paid Social,Home,mobile,0.423,2025-05-13,1
P01319,LT,Organic Search,Home,mobile,0.6576,2025-01-09,0
P01320,LV,Paid Search,Sports,desktop,0.6701,2025-03-04,0
P01321,EE,Paid Social,Home,mobile,0.3082,2025-01-29,0
P01322,EE,CRM,Home,mobile,0.528,2025-09-28,0
P01323,LT,Paid Search,Pet Care,desktop,0.8495,2025-09-27,1
P01324,LT,Organic Search,Sports,mobile,0.4103,2025-09-01,1
P01325,EE,Organic Search,Sports,mobile,0.3525,2025-09-10,0
P01326,LV,Paid Social,Beauty,desktop,0.2652,2025-08-07,0
P01327,LV,Paid Social,Beauty,mobile,0.2986,2025-03-30,0
P01328,LT,Paid Social,Home,mobile,0.2434,2025-01-25,0
P01329,EE,Organic Search,Electronics,mobile,0.2732,2025-06-20,0
P01330,LV,Paid Social,Home,mobile,0.7703,2025-08-02,0
P01331,EE,Organic Search,Electronics,mobile,0.2372,2025-03-11,0
P01332,LT,CRM,Home,desktop,0.1577,2025-08-16,0
P01333,LV,Affiliate,Sports,desktop,0.3133,2025-04-22,1
P01334,LT,Paid Search,Beauty,mobile,0.3793,2025-07-09,1
P01335,LV,Paid Social,Beauty,desktop,0.3779,2025-03-14,0
P01336,LT,Paid Social,Pet Care,desktop,0.3109,2025-01-25,0
P01337,EE,Organic Search,Sports,mobile,0.4183,2025-09-05,1
P01338,EE,Organic Search,Beauty,mobile,0.4609,2025-06-26,0
P01339,LT,Affiliate,Beauty,mobile,0.2281,2025-03-02,1
P01340,LT,Organic Search,Pet Care,mobile,0.3432,2025-09-23,0
