prospect_id,experiment_id,treatment,assignment_date
P01498,free_shipping_threshold,control,2025-02-06
P01499,free_shipping_threshold,control,2025-06-10
P01500,free_shipping_threshold,treatment,2025-02-13
P01501,free_shipping_threshold,treatment,2025-04-25
P01502,free_shipping_threshold,treatment,2025-07-08
P01503,free_shipping_threshold,control,2025-05-03
P01504,free_shipping_threshold,control,2025-03-24
P01505,free_shipping_threshold,treatment,2025-09-14
P01506,free_shipping_threshold,treatment,2025-03-18
P01507,free_shipping_threshold,treatment,2025-10-08
P01508,free_shipping_threshold,control,2025-09-15
P01509,free_shipping_threshold,treatment,2025-03-07
P01510,free_shipping_threshold,control,2025-10-22
P01511,free_shipping_threshold,treatment,2025-03-19
P01512,free_shipping_threshold,control,2025-05-15
P01513,free_shipping_threshold,control,2025-07-13
P01514,free_shipping_threshold,treatment,2025-01-29
P01515,free_shipping_threshold,control,2025-02-25
P01516,free_shipping_threshold,control,2025-01-16
P01517,free_shipping_threshold,treatment,2025-03-29
P01518,free_shipping_threshold,control,2025-06-22
P01519,free_shipping_threshold,treatment,2025-03-08
P01520,free_shipping_threshold,treatment,2025-09-20
P01521,free_shipping_threshold,treatment,2025-05-19
P01522,free_shipping_threshold,treatment,2025-08-20
P01523,free_shipping_threshold,control,2025-07-30
P01524,free_shipping_threshold,control,2025-05-17
P01525,free_shipping_threshold,control,2025-01-29
P01526,free_shipping_threshold,treatment,2025-04-07
P01527,free_shipping_threshold,control,2025-05-26
P01528,free_shipping_threshold,control,2025-09-21
P01529,free_shipping_threshold,control,2025-02-08
P01530,free_shipping_threshold,control,2025-03-08
P01531,free_shipping_threshold,control,2025-09-07
P01532,free_shipping_threshold,control,2025-07-05
P01533,free_shipping_threshold,control,2025-06-22
P01534,free_shipping_threshold,control,2025-03-03
P01535,free_shipping_threshold,treatment,2025-03-26
P01536,free_shipping_threshold,control,2025-10-20
P01537,free_shipping_threshold,treatment,2025-08-11
P01538,free_shipping_threshold,control,2025-05-18
P01539,free_shipping_threshold,treatment,2025-04-21
P01540,free_shipping_threshold,control,2025-07-28
P01541,free_shipping_threshold,treatment,2025-08-27
P01542,free_shipping_threshold,control,2025-09-26
P01543,free_shipping_threshold,treatment,2025-07-17
P01544,free_shipping_threshold,control,2025-03-16
P01545,free_shipping_threshold,treatment,2025-10-12
P01546,free_shipping_threshold,treatment,2025-01-12
P01547,free_shipping_threshold,treatment,2025-01-16
P01548,free_shipping_threshold,treatment,2025-08-30
P01549,free_shipping_threshold,control,2025-04-29
P01550,free_shipping_threshold,treatment,2025-03-27
P01551,free_shipping_threshold,control,2025-04-12
P01552,free_shipping_threshold,treatment,2025-08-01
P01553,free_shipping_threshold,treatment,2025-06-19
P01554,free_shipping_threshold,treatment,2025-07-19
P01555,free_shipping_threshold,treatment,2025-09-16
P01556,free_shipping_threshold,control,2025-06-10
P01557,free_shipping_threshold,control,2025-04-09
P01558,free_shipping_threshold,control,2025-02-16
P01559,free_shipping_threshold,treatment,2025-08-13
P01560,free_shipping_threshold,treatment,2025-08-30
P01561,free_shipping_threshold,control,2025-03-09
P01562,free_shipping_threshold,treatment,2025-02-26
P01563,free_shipping_threshold,treatment,2025-01-31
P01564,free_shipping_threshold,control,2025-01-22
P01565,free_shipping_threshold,control,2025-10-07
P01566,free_shipping_threshold,treatment,2025-02-19
P01567,free_shipping_threshold,control,2025-03-10
P01568,free_shipping_threshold,treatment,2025-03-17
P01569,free_shipping_threshold,treatment,2025-02-02
P01570,free_shipping_threshold,control,2025-02-25
P01571,free_shipping_threshold,control,2025-04-11
P01572,free_shipping_threshold,control,2025-02-11
P01573,free_shipping_threshold,treatment,2025-03-18
P01574,free_shipping_threshold,treatment,2025-10-11
P01575,free_shipping_threshold,treatment,2025-07-05
P01576,free_shipping_threshold,treatment,2025-03-08
P01577,free_shipping_threshold,treatment,2025-04-18
P01578,free_shipping_threshold,control,2025-03-02
P01579,free_shipping_threshold,treatment,2025-04-24
P01580,free_shipping_threshold,control,2025-04-19
P01581,free_shipping_threshold,control,2025-04-16
P01582,free_shipping_threshold,control,2025-08-31
P01583,free_shipping_threshold,control,2025-06-23
P01584,free_shipping_threshold,treatment,2025-10-14
P01585,free_shipping_threshold,control,2025-09-09
P01586,free_shipping_threshold,control,2025-05-09
P01587,free_shipping_threshold,treatment,2025-07-15
P01588,free_shipping_threshold,control,2025-08-27
P01589,free_shipping_threshold,treatment,2025-09-26
P01590,free_shipping_threshold,control,2025-04-19
P01591,free_shipping_threshold,control,2025-07-21
P01592,free_shipping_threshold,treatment,2025-02-10
P01593,free_shipping_threshold,control,2025-10-11
P01594,free_shipping_threshold,control,2025-05-12
P01595,free_shipping_threshold,treatment,2025-07-22
P01596,free_shipping_threshold,control,2025-03-11
P01597,free_shipping_threshold,treatment,2025-02-15
P01598,free_shipping_threshold,treatment,2025-08-25
P01599,free_shipping_threshold,control,2025-08-31
P01600,free_shipping_threshold,treatment,2025-09-28
P01601,free_shipping_threshold,control,2025-02-18
P01602,free_shipping_threshold,control,2025-04-17
P01603,free_shipping_threshold,control,2025-07-27
P01604,free_shipping_threshold,treatment,2025-06-04
P01605,free_shipping_threshold,treatment,2025-09-03
P01606,free_shipping_threshold,treatment,2025-02-12
P01607,free_shipping_threshold,treatment,2025-10-28
P01608,free_shipping_threshold,treatment,2025-01-28
P01609,free_shipping_threshold,treatment,2025-03-25
P01610,free_shipping_threshold,treatment,2025-09-22
P01611,free_shipping_threshold,control,2025-04-22
P01612,free_shipping_threshold,treatment,2025-06-25
P01613,free_shipping_threshold,control,2025-03-05
P01614,free_shipping_threshold,control,2025-09-20
P01615,free_shipping_threshold,treatment,2025-01-14
P01616,free_shipping_threshold,treatment,2025-09-19
P01617,free_shipping_threshold,control,2025-05-26
P01618,free_shipping_threshold,treatment,2025-01-09
P01619,free_shipping_threshold,treatment,2025-02-24
P01620,free_shipping_threshold,control,2025-05-25
P01621,free_shipping_threshold,control,2025-06-22
P01622,free_shipping_threshold,treatment,2025-04-20
P01623,free_shipping_threshold,control,2025-01-16
P01624,free_shipping_threshold,treatment,2025-10-26
P01625,free_shipping_threshold,control,2025-09-23
P01626,free_shipping_threshold,treatment,2025-01-25
P01627,free_shipping_threshold,control,2025-05-01
P01628,free_shipping_threshold,treatment,2025-08-10
P01629,free_shipping_threshold,control,2025-06-17
P01630,free_shipping_threshold,control,2025-07-16
P01631,free_shipping_threshold,control,2025-03-20
P01632,free_shipping_threshold,treatment,2025-09-23
P01633,free_shipping_threshold,control,2025-07-16
P01634,free_shipping_threshold,control,2025-09-09
P01635,free_shipping_threshold,control,2025-07-10
P01636,free_shipping_threshold,treatment,2025-01-22
P01637,free_shipping_threshold,control,2025-10-16
P01638,free_shipping_threshold,treatment,2025-01-11
P01639,free_shipping_threshold,control,2025-09-15
P01640,free_shipping_threshold,treatment,2025-01-12
P01641,free_shipping_threshold,control,2025-02-08
P01642,free_shipping_threshold,treatment,2025-10-25
P01643,free_shipping_threshold,control,2025-02-26
P01644,free_shipping_threshold,treatment,2025-04-08
P01645,free_shipping_threshold,treatment,2025-01-28
P01646,free_shipping_threshold,treatment,2025-05-19
P01647,free_shipping_threshold,treatment,2025-10-04
P01648,free_shipping_threshold,control,2025-04-14
P01649,free_shipping_threshold,treatment,2025-06-14
P01650,free_shipping_threshold,treatment,2025-02-03
P01651,free_shipping_threshold,treatment,2025-10-20
P01652,free_shipping_threshold,treatment,2025-07-25
P01653,free_shipping_threshold,control,2025-07-01
P01654,free_shipping_threshold,control,2025-05-25
P01655,free_shipping_threshold,control,2025-07-05
P01656,free_shipping_threshold,control,2025-06-20
P01657,free_shipping_threshold,treatment,2025-02-09
P01658,free_shipping_threshold,treatment,2025-04-02
P01659,free_shipping_threshold,control,2025-10-18
P01660,free_shipping_threshold,treatment,2025-10-28
P01661,free_shipping_threshold,control,2025-04-27
P01662,free_shipping_threshold,treatment,2025-04-09
P01663,free_shipping_threshold,treatment,2025-02-28
P01664,free_shipping_threshold,treatment,2025-02-09
P01665,free_shipping_threshold,treatment,2025-03-24
P01666,free_shipping_threshold,control,2025-03-15
P01667,free_shipping_threshold,control,2025-06-24
P01668,free_shipping_threshold,treatment,2025-07-03
P01669,free_shipping_threshold,treatment,2025-06-22
P01670,free_shipping_threshold,control,2025-06-24
P01671,free_shipping_threshold,treatment,2025-06-18
P01672,free_shipping_threshold,control,2025-05-19
P01673,free_shipping_threshold,treatment,2025-03-28
P01674,free_shipping_threshold,control,2025-02-22
P01675,free_shipping_threshold,treatment,2025-03-06
P01676,free_shipping_threshold,treatment,2025-03-13
P01677,free_shipping_threshold,treatment,2025-10-02
P01678,free_shipping_threshold,control,2025-09-30
P01679,free_shipping_threshold,treatment,2025-04-05
P01680,free_shipping_threshold,control,2025-08-22
P01681,free_shipping_threshold,treatment,2025-07-24
P01682,free_shipping_threshold,control,2025-02-19
P01683,free_shipping_threshold,control,2025-09-07
P01684,free_shipping_threshold,treatment,2025-10-07
P01685,free_shipping_threshold,control,2025-10-25
P01686,free_shipping_threshold,control,2025-02-04
P01687,free_shipping_threshold,treatment,2025-02-02
P01688,free_shipping_threshold,treatment,2025-06-07
P01689,free_shipping_threshold,treatment,2025-04-25
P01690,free_shipping_threshold,treatment,2025-09-19
P01691,free_shipping_threshold,treatment,2025-01-19
P01692,free_shipping_threshold,control,2025-03-11
P01693,free_shipping_threshold,treatment,2025-03-30
P01694,free_shipping_threshold,treatment,2025-07-29
P01695,free_shipping_threshold,treatment,2025-08-29
P01696,free_shipping_threshold,treatment,2025-03-10
P01697,free_shipping_threshold,treatment,2025-01-30
P01698,free_shipping_threshold,treatment,2025-05-26
P01699,free_shipping_threshold,control,2025-07-02
P01700,free_shipping_threshold,treatment,2025-03-21
P01701,free_shipping_threshold,control,2025-05-06
P01702,free_shipping_threshold,control,2025-07-09
P01703,free_shipping_threshold,control,2025-09-12
P01704,free_shipping_threshold,control,2025-07-17
P01705,free_shipping_threshold,treatment,2025-10-15
P01706,free_shipping_threshold,treatment,2025-08-11
P01707,free_shipping_threshold,treatment,2025-10-27
P01708,free_shipping_threshold,treatment,2025-03-30
P01709,free_shipping_threshold,control,2025-03-09
P01710,free_shipping_threshold,control,2025-05-22
P01711,free_shipping_threshold,control,2025-09-04
P01712,free_shipping_threshold,control,2025-05-09
P01713,free_shipping_threshold,control,2025-07-04
P01714,free_shipping_threshold,treatment,2025-04-30
P01715,free_shipping_threshold,control,2025-03-23
P01716,free_shipping_threshold,control,2025-06-17
P01717,free_shipping_threshold,treatment,2025-08-13
P01718,free_shipping_threshold,control,2025-10-14
P01719,free_shipping_threshold,treatment,2025-01-28
P01720,free_shipping_threshold,control,2025-03-13
P01721,free_shipping_threshold,treatment,2025-09-12
P01722,free_shipping_threshold,treatment,2025-04-30
P01723,free_shipping_threshold,control,2025-09-09
P01724,free_shipping_threshold,treatment,2025-10-02
P01725,free_shipping_threshold,treatment,2025-01-23
P01726,free_shipping_threshold,control,2025-09-07
P01727,free_shipping_threshold,treatment,2025-08-23
P01728,free_shipping_threshold,treatment,2025-03-30
P01729,free_shipping_threshold,treatment,2025-03-23
P01730,free_shipping_threshold,treatment,2025-09-05
P01731,free_shipping_threshold,treatment,2025-06-08
P01732,free_shipping_threshold,treatment,2025-07-17
P01733,free_shipping_threshold,control,2025-09-11
P01734,free_shipping_threshold,control,2025-01-11
P01735,free_shipping_threshold,treatment,2025-06-13
P01736,free_shipping_threshold,treatment,2025-06-12
P01737,free_shipping_threshold,control,2025-08-06
P01738,free_shipping_threshold,control,2025-08-26
P01739,free_shipping_threshold,treatment,2025-08-10
P01740,free_shipping_threshold,treatment,2025-03-01
P01741,free_shipping_threshold,control,2025-09-11
P01742,free_shipping_threshold,control,2025-02-21
P01743,free_shipping_threshold,treatment,2025-06-22
P01744,free_shipping_threshold,treatment,2025-06-27
P01745,free_shipping_threshold,control,2025-03-08
P01746,free_shipping_threshold,treatment,2025-05-17
P01747,free_shipping_threshold,treatment,2025-03-22
P01748,free_shipping_threshold,control,2025-03-09
P01749,free_shipping_threshold,control,2025-02-14
P01750,free_shipping_threshold,control,2025-06-16
P01751,free_shipping_threshold,treatment,2025-06-19
P01752,free_shipping_threshold,control,2025-05-27
P01753,free_shipping_threshold,treatment,2025-10-17
P01754,free_shipping_threshold,treatment,2025-06-11
P01755,free_shipping_threshold,treatment,2025-06-30
P01756,free_shipping_threshold,treatment,2025-08-08
P01757,free_shipping_threshold,treatment,2025-03-18
P01758,free_shipping_threshold,treatment,2025-08-07
P01759,free_shipping_threshold,treatment,2025-03-23
P01760,free_shipping_threshold,control,2025-04-09
P01761,free_shipping_threshold,control,2025-04-28
P01762,free_shipping_threshold,control,2025-10-24
P01763,free_shipping_threshold,control,2025-10-10
P01764,free_shipping_threshold,treatment,2025-10-24
P01765,free_shipping_threshold,treatment,2025-08-22
P01766,free_shipping_threshold,treatment,2025-06-05
P01767,free_shipping_threshold,control,2025-09-28
P01768,free_shipping_threshold,treatment,2025-10-02
P01769,free_shipping_threshold,treatment,2025-01-09
P01770,free_shipping_threshold,control,2025-04-11
P01771,free_shipping_threshold,control,2025-02-09
P01772,free_shipping_threshold,control,2025-04-10
P01773,free_shipping_threshold,control,2025-10-05
P01774,free_shipping_threshold,treatment,2025-07-25
P01775,free_shipping_threshold,treatment,2025-03-25
P01776,free_shipping_threshold,treatment,2025-05-01
P01777,free_shipping_threshold,treatment,2025-01-09
P01778,free_shipping_threshold,treatment,2025-05-27
P01779,free_shipping_threshold,control,2025-10-11
P01780,free_shipping_threshold,treatment,2025-08-01
P01781,free_shipping_threshold,treatment,2025-06-06
P01782,free_shipping_threshold,treatment,2025-06-03
P01783,free_shipping_threshold,treatment,2025-03-03
P01784,free_shipping_threshold,treatment,2025-10-13
P01785,free_shipping_threshold,control,2025-09-02
P01786,free_shipping_threshold,control,2025-05-05
P01787,free_shipping_threshold,treatment,2025-10-11
P01788,free_shipping_threshold,control,2025-08-20
P01789,free_shipping_threshold,treatment,2025-02-21
P01790,free_shipping_threshold,treatment,2025-07-21
P01791,free_shipping_threshold,control,2025-02-23
P01792,free_shipping_threshold,treatment,2025-07-11
P01793,free_shipping_threshold,control,2025-07-05
P01794,free_shipping_threshold,control,2025-06-19
P01795,free_shipping_threshold,control,2025-03-31
P01796,free_shipping_threshold,control,2025-10-16
P01797,free_shipping_threshold,treatment,2025-05-25
P01798,free_shipping_threshold,treatment,2025-09-04
P01799,free_shipping_threshold,control,2025-04-22
P01800,free_shipping_threshold,treatment,2025-04-29
P01801,free_shipping_threshold,control,2025-01-09
P01802,free_shipping_threshold,treatment,2025-09-16
P01803,free_shipping_threshold,treatment,2025-03-11
P01804,free_shipping_threshold,treatment,2025-01-15
P01805,free_shipping_threshold,treatment,2025-08-21
P01806,free_shipping_threshold,control,2025-06-20
P01807,free_shipping_threshold,treatment,2025-10-27
P01808,free_shipping_threshold,control,2025-01-05
P01809,free_shipping_threshold,treatment,2025-04-27
P01810,free_shipping_threshold,treatment,2025-02-09
P01811,free_shipping_threshold,control,2025-04-14
P01812,free_shipping_threshold,control,2025-07-29
P01813,free_shipping_threshold,control,2025-06-27
P01814,free_shipping_threshold,control,2025-02-25
P01815,free_shipping_threshold,treatment,2025-03-18
P01816,free_shipping_threshold,treatment,2025-09-24
P01817,free_shipping_threshold,treatment,2025-09-26
P01818,free_shipping_threshold,treatment,2025-07-20
P01819,free_shipping_threshold,control,2025-06-17
P01820,free_shipping_threshold,control,2025-01-25
P01821,free_shipping_threshold,treatment,2025-09-12
P01822,free_shipping_threshold,treatment,2025-07-18
P01823,free_shipping_threshold,control,2025-01-18
P01824,free_shipping_threshold,control,2025-07-06
P01825,free_shipping_threshold,treatment,2025-10-01
P01826,free_shipping_threshold,control,2025-08-06
P01827,free_shipping_threshold,treatment,2025-02-18
P01828,free_shipping_threshold,treatment,2025-06-06
P01829,free_shipping_threshold,control,2025-01-29
P01830,free_shipping_threshold,control,2025-10-21
P01831,free_shipping_threshold,treatment,2025-02-25
P01832,free_shipping_threshold,treatment,2025-01-22
P01833,free_shipping_threshold,control,2025-01-19
P01834,free_shipping_threshold,control,2025-09-26
P01835,free_shipping_threshold,treatment,2025-08-25
P01836,free_shipping_threshold,control,2025-07-17
P01837,free_shipping_threshold,control,2025-03-21
P01838,free_shipping_threshold,treatment,2025-04-18
P01839,free_shipping_threshold,treatment,2025-08-27
P01840,free_shipping_threshold,control,2025-07-02
P01841,free_shipping_threshold,control,2025-10-21
P01842,free_shipping_threshold,control,2025-04-29
P01843,free_shipping_threshold,treatment,2025-10-06
P01844,free_shipping_threshold,control,2025-06-03
P01845,free_shipping_threshold,treatment,2025-08-20
P01846,free_shipping_threshold,control,2025-01-04
P01847,free_shipping_threshold,control,2025-06-26
P01848,free_shipping_threshold,control,2025-02-16
P01849,free_shipping_threshold,treatment,2025-04-05
P01850,free_shipping_threshold,treatment,2025-07-07
P01851,free_shipping_threshold,control,2025-07-05
P01852,free_shipping_threshold,treatment,2025-05-05
P01853,free_shipping_threshold,treatment,2025-09-19
P01854,free_shipping_threshold,treatment,2025-08-02
P01855,free_shipping_threshold,treatment,2025-07-11
P01856,free_shipping_threshold,control,2025-01-03
P01857,free_shipping_threshold,treatment,2025-06-01
P01858,free_shipping_threshold,control,2025-01-25
P01859,free_shipping_threshold,control,2025-07-02
P01860,free_shipping_threshold,control,2025-01-30
P01861,free_shipping_threshold,treatment,2025-07-27
P01862,free_shipping_threshold,treatment,2025-10-13
P01863,free_shipping_threshold,control,2025-04-21
P01864,free_shipping_threshold,control,2025-10-14
P01865,free_shipping_threshold,control,2025-07-17
P01866,free_shipping_threshold,control,2025-09-08
P01867,free_shipping_threshold,treatment,2025-06-25
P01868,free_shipping_threshold,control,2025-10-12
P01869,free_shipping_threshold,treatment,2025-03-02
P01870,free_shipping_threshold,treatment,2025-09-29
P01871,free_shipping_threshold,treatment,2025-05-20
P01872,free_shipping_threshold,control,2025-03-18
P01873,free_shipping_threshold,treatment,2025-05-22
P01874,free_shipping_threshold,treatment,2025-02-24
P01875,free_shipping_threshold,treatment,2025-06-30
P01876,free_shipping_threshold,treatment,2025-09-05
P01877,free_shipping_threshold,treatment,2025-02-25
P01878,free_shipping_threshold,control,2025-03-21
P01879,free_shipping_threshold,treatment,2025-04-02
P01880,free_shipping_threshold,treatment,2025-04-06
P01881,free_shipping_threshold,control,2025-05-09
P01882,free_shipping_threshold,treatment,2025-02-27
P01883,free_shipping_threshold,control,2025-03-07
P01884,free_shipping_threshold,control,2025-09-07
P01885,free_shipping_threshold,control,2025-04-05
P01886,free_shipping_threshold,control,2025-08-09
P01887,free_shipping_threshold,control,2025-09-18
P01888,free_shipping_threshold,treatment,2025-05-06
P01889,free_shipping_threshold,treatment,2025-09-28
P01890,free_shipping_threshold,control,2025-09-16
P01891,free_shipping_threshold,control,2025-06-30
P01892,free_shipping_threshold,control,2025-08-01
P01893,free_shipping_threshold,control,2025-06-26
P01894,free_shipping_threshold,control,2025-01-27
P01895,free_shipping_threshold,treatment,2025-10-07
P01896,free_shipping_threshold,treatment,2025-04-06
P01897,free_shipping_threshold,control,2025-04-01
P01898,free_shipping_threshold,control,2025-09-15
P01899,free_shipping_threshold,treatment,2025-08-11
P01900,free_shipping_threshold,treatment,2025-07-21
P01901,free_shipping_threshold,control,2025-04-03
P01902,free_shipping_threshold,treatment,2025-08-16
P01903,free_shipping_threshold,treatment,2025-04-28
P01904,free_shipping_threshold,treatment,2025-09-30
P01905,free_shipping_threshold,control,2025-09-25
P01906,free_shipping_threshold,control,2025-04-15
P01907,free_shipping_threshold,control,2025-10-25
P01908,free_shipping_threshold,treatment,2025-02-16
P01909,free_shipping_threshold,treatment,2025-03-23
P01910,free_shipping_threshold,control,2025-06-02
P01911,free_shipping_threshold,control,2025-06-30
P01912,free_shipping_threshold,treatment,2025-09-12
P01913,free_shipping_threshold,control,2025-05-22
P01914,free_shipping_threshold,treatment,2025-01-02
P01915,free_shipping_threshold,treatment,2025-09-07
P01916,free_shipping_threshold,treatment,2025-04-29
P01917,free_shipping_threshold,treatment,2025-07-05
P01918,free_shipping_threshold,treatment,2025-06-13
P01919,free_shipping_threshold,control,2025-01-15
P01920,free_shipping_threshold,treatment,2025-10-18
P01921,free_shipping_threshold,control,2025-01-29
P01922,free_shipping_threshold,control,2025-01-11
P01923,free_shipping_threshold,treatment,2025-10-10
P01924,free_shipping_threshold,treatment,2025-01-24
P01925,free_shipping_threshold,control,2025-08-15
P01926,free_shipping_threshold,treatment,2025-10-11
P01927,free_shipping_threshold,control,2025-03-07
P01928,free_shipping_threshold,control,2025-10-13
P01929,free_shipping_threshold,treatment,2025-07-31
P01930,free_shipping_threshold,control,2025-02-21
P01931,free_shipping_threshold,treatment,2025-03-02
P01932,free_shipping_threshold,treatment,2025-01-24
P01933,free_shipping_threshold,control,2025-10-20
P01934,free_shipping_threshold,control,2025-01-21
P01935,free_shipping_threshold,treatment,2025-06-04
P01936,free_shipping_threshold,control,2025-09-14
P01937,free_shipping_threshold,treatment,2025-10-27
P01938,free_shipping_threshold,control,2025-04-29
P01939,free_shipping_threshold,treatment,2025-08-18
P01940,free_shipping_threshold,control,2025-08-01
P01941,free_shipping_threshold,treatment,2025-08-08
P01942,free_shipping_threshold,treatment,2025-06-30
P01943,free_shipping_threshold,control,2025-01-05
P01944,free_shipping_threshold,control,2025-09-27
P01945,free_shipping_threshold,control,2025-04-10
P01946,free_shipping_threshold,control,2025-01-03
P01947,free_shipping_threshold,control,2025-04-16
P01948,free_shipping_threshold,control,2025-07-07
P01949,free_shipping_threshold,control,2025-10-24
P01950,free_shipping_threshold,control,2025-02-20
P01951,free_shipping_threshold,treatment,2025-07-20
P01952,free_shipping_threshold,control,2025-06-01
P01953,free_shipping_threshold,control,2025-07-04
P01954,free_shipping_threshold,treatment,2025-09-25
P01955,free_shipping_threshold,treatment,2025-01-20
P01956,free_shipping_threshold,treatment,2025-10-18
P01957,free_shipping_threshold,control,2025-02-13
P01958,free_shipping_threshold,treatment,2025-08-10
P01959,free_shipping_threshold,treatment,2025-02-20
P01960,free_shipping_threshold,treatment,2025-06-22
P01961,free_shipping_threshold,treatment,2025-03-04
P01962,free_shipping_threshold,treatment,2025-02-28
P01963,free_shipping_threshold,treatment,2025-04-15
P01964,free_shipping_threshold,control,2025-01-28
P01965,free_shipping_threshold,treatment,2025-06-12
P01966,free_shipping_threshold,control,2025-02-05
P01967,free_shipping_threshold,treatment,2025-06-11
P01968,free_shipping_threshold,control,2025-08-06
P01969,free_shipping_threshold,control,2025-10-23
P01970,free_shipping_threshold,control,2025-08-07
P01971,free_shipping_threshold,control,2025-03-01
P01972,free_shipping_threshold,treatment,2025-07-01
P01973,free_shipping_threshold,treatment,2025-10-26
P01974,free_shipping_threshold,treatment,2025-08-08
P01975,free_shipping_threshold,treatment,2025-09-09
P01976,free_shipping_threshold,control,2025-01-02
P01977,free_shipping_threshold,treatment,2025-04-18
P01978,free_shipping_threshold,treatment,2025-05-03
P01979,free_shipping_threshold,control,2025-07-12
P01980,free_shipping_threshold,control,2025-10-06
P01981,free_shipping_threshold,treatment,2025-08-17
P01982,free_shipping_threshold,control,2025-03-11
P01983,free_shipping_threshold,treatment,2025-05-31
P01984,free_shipping_threshold,treatment,2025-07-25
P01985,free_shipping_threshold,control,2025-02-28
P01986,free_shipping_threshold,control,2025-08-09
P01987,free_shipping_threshold,treatment,2025-01-13
P01988,free_shipping_threshold,treatment,2025-06-26
P01989,free_shipping_threshold,treatment,2025-05-15
P01990,free_shipping_threshold,treatment,2025-05-05
P01991,free_shipping_threshold,treatment,2025-06-29
P01992,free_shipping_threshold,control,2025-01-21
P01993,free_shipping_threshold,treatment,2025-03-02
P01994,free_shipping_threshold,control,2025-03-22
P01995,free_shipping_threshold,control,2025-07-07
P01996,free_shipping_threshold,control,2025-02-04
P01997,free_shipping_threshold,treatment,2025-10-24
P01998,free_shipping_threshold,treatment,2025-06-08
P01999,free_shipping_threshold,control,2025-07-23
P02000,free_shipping_threshold,treatment,2025-03-17
P02001,free_shipping_threshold,control,2025-02-11
P02002,free_shipping_threshold,treatment,2025-07-01
P02003,free_shipping_threshold,treatment,2025-08-01
P02004,free_shipping_threshold,control,2025-08-28
P02005,free_shipping_threshold,treatment,2025-06-14
P02006,free_shipping_threshold,control,2025-06-22
P02007,free_shipping_threshold,treatment,2025-10-12
P02008,free_shipping_threshold,treatment,2025-10-04
P02009,free_shipping_threshold,treatment,2025-07-04
P02010,free_shipping_threshold,control,2025-08-04
P02011,free_shipping_threshold,treatment,2025-03-30
P02012,free_shipping_threshold,control,2025-01-11
P02013,free_shipping_threshold,treatment,2025-06-03
P02014,free_shipping_threshold,treatment,2025-06-28
P02015,free_shipping_threshold,control,2025-08-10
P02016,free_shipping_threshold,control,2025-05-27
P02017,free_shipping_threshold,control,2025-04-02
P02018,free_shipping_threshold,treatment,2025-08-06
P02019,free_shipping_threshold,control,2025-09-07
P02020,free_shipping_threshold,treatment,2025-08-15
P02021,free_shipping_threshold,treatment,2025-07-15
P02022,free_shipping_threshold,treatment,2025-01-05
P02023,free_shipping_threshold,treatment,2025-02-21
P02024,free_shipping_threshold,control,2025-10-10
P02025,free_shipping_threshold,control,2025-05-19
P02026,free_shipping_threshold,control,2025-01-17
P02027,free_shipping_threshold,control,2025-02-25
P02028,free_shipping_threshold,treatment,2025-06-19
P02029,free_shipping_threshold,treatment,2025-04-27
P02030,free_shipping_threshold,control,2025-10-16
P02031,free_shipping_threshold,treatment,2025-10-01
P02032,free_shipping_threshold,treatment,2025-05-09
P02033,free_shipping_threshold,treatment,2025-01-04
P02034,free_shipping_threshold,treatment,2025-08-10
P02035,free_shipping_threshold,treatment,2025-03-19
P02036,free_shipping_threshold,control,2025-03-29
P02037,free_shipping_threshold,treatment,2025-10-04
P02038,free_shipping_threshold,control,2025-09-09
P02039,free_shipping_threshold,control,2025-07-10
P02040,free_shipping_threshold,control,2025-07-23
P02041,free_shipping_threshold,control,2025-02-01
P02042,free_shipping_threshold,control,2025-09-12
P02043,free_shipping_threshold,control,2025-06-15
P02044,free_shipping_threshold,treatment,2025-08-01
P02045,free_shipping_threshold,control,2025-02-28
P02046,free_shipping_threshold,treatment,2025-10-05
P02047,free_shipping_threshold,treatment,2025-10-02
P02048,free_shipping_threshold,treatment,2025-06-26
P02049,free_shipping_threshold,treatment,2025-03-07
P02050,free_shipping_threshold,control,2025-03-19
P02051,free_shipping_threshold,treatment,2025-04-15
P02052,free_shipping_threshold,treatment,2025-06-02
P02053,free_shipping_threshold,control,2025-07-10
P02054,free_shipping_threshold,control,2025-09-03
P02055,free_shipping_threshold,control,2025-09-23
P02056,free_shipping_threshold,treatment,2025-07-02
P02057,free_shipping_threshold,control,2025-10-25
P02058,free_shipping_threshold,control,2025-07-31
P02059,free_shipping_threshold,control,2025-07-24
P02060,free_shipping_threshold,control,2025-10-07
P02061,free_shipping_threshold,treatment,2025-09-29
P02062,free_shipping_threshold,control,2025-01-23
P02063,free_shipping_threshold,treatment,2025-07-18
P02064,free_shipping_threshold,treatment,2025-10-23
P02065,free_shipping_threshold,control,2025-09-27
P02066,free_shipping_threshold,treatment,2025-09-02
P02067,free_shipping_threshold,control,2025-03-31
P02068,free_shipping_threshold,control,2025-06-10
P02069,free_shipping_threshold,control,2025-10-02
P02070,free_shipping_threshold,control,2025-08-09
P02071,free_shipping_threshold,treatment,2025-10-24
P02072,free_shipping_threshold,control,2025-07-19
P02073,free_shipping_threshold,treatment,2025-05-08
P02074,free_shipping_threshold,treatment,2025-09-11
P02075,free_shipping_threshold,treatment,2025-05-12
P02076,free_shipping_threshold,control,2025-09-09
P02077,free_shipping_threshold,control,2025-10-09
P02078,free_shipping_threshold,control,2025-03-10
